normal,simple
"In living organisms , ascorbate is an antioxidant , since it protects the body against oxidative stress .","In living organisms , ascorbate is an antioxidant , since it protects the body against oxidative stress ."
"This causes a huge megatsunami , but also causes the water to be sucked into the crack and the ocean is dragged back hundreds of feet .",This causes a huge tsunami . The ocean is dragged back hundreds of feet .
"The harder they struggle and the deeper they gasp for oxygen , the more sand fills their lungs , until finally , they ca n't breathe .","The harder they struggle and the deeper they gasp for oxygen , the more sand fills their lungs , until finally , they ca n't breathe ."
"They jump on its neck and slash with their retractable toe claws , killing their prey .","They jump on its neck and slash with their retractable toe claws , killing their prey ."
"In Mongolia , the starving Charonosaurus stays close to the watering hole , but today the water is boiling .","In Mongolia , the starving Charonosaurus stays close to the cave that has saved it twice in the past ."
"Energetics is the pseudo-scientific study of energy under transformation . Because energy flows at all scales , from the quantum level to the biosphere and cosmos , energetics is a very broad discipline , encompassing for example thermodynamics , chemistry , biological energetics , biochemistry and ecological energetics .",Energetics is a wide field of study .
"It is for his more infamous productions that De Laurentiis 's name has become known â '' the legendary King Kong ( 1976 ) remake , which was a commercial hit , Lipstick , the killer whale film Orca ( 1977 ) ; The White Buffalo ( 1977 ) ; the disaster movie Hurricane ( 1979 ) ; the remake of Flash Gordon ( 1980 ) ; Halloween II ( the 1981 sequel to John Carpenter 's 1978 classic horror film ) ; David Lynch 's Dune ( 1984 ) ; and King Kong Lives ( 1986 ) .","It is for his more infamous productions that De Laurentiis 's name has become known . The King Kong ( 1976 ) remake , which was a commercial hit , Lipstick , the killer whale film Orca ( 1977 ) ; The White Buffalo ( 1977 ) ; the disaster movie Hurricane ( 1979 ) ; the remake of Flash Gordon ( 1980 ) ; Halloween II ( the 1981 sequel to John Carpenter 's 1978 classic horror film ) ; David Lynch 's Dune ( 1984 ) ; and King Kong Lives ( 1986 ) ."
"One Himalayan specialty is the momo , a dumpling stuffed with vegetables , cottage cheese or minced yak meat , beef or pork and flavored with Sichuan pepper , garlic , ginger and onion .","One Himalayan specialty is the momo , a dumpling stuffed with vegetables , cottage cheese or minced yak meat , beef or pork and flavored with Sichuan pepper , garlic , ginger and onion ."
"A beard is the collection of hair that grows on the chin , cheeks and neck , but not the upper lip , of human beings .","The hair that grows on the upper lip of some men is a mustache . When a man has hair only below the lower lip and above the chin , it is called a soul patch ."
"However , women with hirsutism may develop a beard . When differentiating between upper and lower facial hair , a beard specifically excludes the moustache , which refers to hair above the upper lip and around it .","Some animals also have hair like this , and people sometimes also call this hair a beard ."
"People with kidney disease , hyperuricemia , or gout should not take aspirin because it inhibits the kidneys ' ability to excrete uric acid , and thus may exacerbate these conditions .","People with lung , kidney disease , gout , hyperuricemia ( high amounts of uric acid ) , hemophilia , diabeties or high blood pressure should not take aspirin except on the advice of a qualified medical professional ."
"Inuit arts , carving , print making , textiles and throat singing , are very popular , not only in Canada but globally , and Inuit artists are widely known . Indeed , Canada has , metaphorically , adopted some of the Inuit culture as a sort of national identity , using Inuit symbols like the inukshuk in unlikely places , such as its use as a symbol at the 2010 Winter Olympics in Vancouver .",Inuit in Canada and Greenland like the name Inuit because it is a name they made .
"Other desired qualities in modern commercial apple breeding are a colourful skin , absence of russeting , ease of shipping , lengthy storage ability , high yields , disease resistance , typical ` Red Delicious ' apple shape , and popular flavor .","Colorful skin , easy shipping , disease resistance , ` Red Delicious ' apple shape , and popular flavor are also needed ."
"It is possible to run FreeNAS from a Live CD , with the configuration files stored on an MS-DOS-formatted floppy disk or USB thumb drive .","It is possible to run FreeNAS from a Live CD , with the configuration files stored on an MS-DOS-formatted floppy disk ."
"Introns are found in the genes of most organisms and many viruses , and can be located in a wide range of genes , including those that generate proteins , ribosomal RNA ( rRNA ) , and transfer RNA ( tRNA ) .","Introns are found in the genes of most organisms and many viruses , and can be located in a wide range of genes , including those that generate proteins , ribosomal RNA ( rRNA ) , and transfer RNA ( tRNA ) ."
"When proteins are generated from intron-containing genes , RNA splicing takes place as part of the RNA processing pathway that follows transcription and precedes translation .",RNA splicing takes place after transcription and before translation .
The control of alternative RNA splicing is performed by complex network of signaling molecules that respond to a wide range of intracellular and extracellular signals .,The control of alternative RNA splicing is performed by complex network of signalling molecules .
"As the flames die out Chiron exclaims that his wound is healed , the flames had burned away his immortality and healed the wound .","As the flames die out Chiron exclaims that his wound is healed , the flames had burned away his immortality and healed the wound ."
"Mud volcanoes are often associated with petroleum deposits and tectonic subduction zones and orogenic belts ; hydrocarbon gases are often erupted . They are also often associated with lava volcanoes ; in the case of such close proximity , mud volcanoes emit incombustible gases including helium , whereas lone mud volcanoes are more likely to emit methane .",Most of the gases given off by mud volcanoes are methane .
"The brand began as a service creating Wikipedia articles for paying corporations ; the founder and owner of MyWikiBiz , Gregory Kohs , was soon blocked from Wikipedia .","It began as a service creating Wikipedia articles for paying corporations . The site was founded by Gregory Kohs , a market researcher ."
"For example a mixture of potassium chlorate and sugar will burn when concentrated sulfuric acid is added due to chloric acid production . Because sulfur tends to contain acidic impurities , it will form highly unstable mixtures with potassium chlorate due to chloric acid being produced .",Sulfur can make explosive mixtures with potassium chlorate because chloric acid can be made .
"Asiatic cheetah ( Acinonyx jubatus venaticus ) has for a long time been theoretically classified as a sub-species of the cheetah with the suffix `` venaticus '' applied at the end of its scientific binomial name Acinonyx jubatus but at a Cheetah reintroduction workshop organized in India on 9 September 2009 Stephen J. O'Brien from Laboratory of Genomic Diversity of National Cancer Institute , USA who has in the past conducted numerous prestigious genetic studies including those on Asiatic lions said that according to latest modern genetic studies which became possible only now it was discovered that in fact Asiatic cheetah was genetically identical to the African Cheetah with which it had separated only about 5000 years ago which was not enough time for a sub-species level differentiation , in comparison he said that the Asian and African lion subspecies were separated some 100,000 years ago , so was the African and Asian leopard subspecies 169,000 years ago . Cheetah expert Laurie Marker of the Cheetah Conservation Fund ( CCF ) and other wildlife experts assembled for the occasion advised the Indian Government that for reintroduction purposes India should source the Cheetah from Africa where they were much more numerous instead of trying to have some removed from the critically endangered low population of about worlds last 70 to 100 or so Asiatic Cheetahs left in Iran .",The Asiatic Cheetah ( Acinonyx jubatus venaticus ) is a subspecies of the cheetah .
"However , the rapidly falling water table meant a drop of the water 's depth to 60 ' / 18m within a dozen years .","However , the rapidly falling level of the water meant a drop of the water 's depth to 60 ' / 18m within a dozen years ."
"Sometimes bruises can be serious , leading to other more life-threatening forms of hematoma , such as when associated with serious injuries , including fractures and more severe internal bleeding .","Sometimes bruises can be serious and lead to other more life threatening forms of hematoma , or can be associated with serious injuries as fractures and internal bleeding ."
"Typhus should not be confused with typhoid fever , as the diseases are unrelated .","Typhus is unrelated to both typhoid fever and paratyphoid fever Typhus is the name for a number of diseases , caused by bacteria called Rickettsiae ."
"Because demands placed on one liver enzyme can induce activity in another , many molecules become toxic only in combination with others .","Some substances are also only toxic when they are with other chemicals , as one liver enzyme can cause activity in another enzyme ."
"To achieve the diversity of antibodies needed to protect against any type of antigen , the immune system would require millions of genes coding for different antibodies , if each antibody was encoded by one gene .","If each antibody was coded by one gene , it would take millions of genes to protect against any type of antigen ."
"When properly performed , strength training can provide significant functional benefits and improvement in overall health and well-being , including increased bone , muscle , tendon and ligament strength and toughness , improved joint function , reduced potential for injury , increased bone density , a temporary increase in metabolism , improved cardiac function , and elevated HDL ( good ) cholesterol .","When properly performed , strength training can provide significant functional benefits and improvement in overall health and well-being , including increased bone , muscle , tendon and ligament strength , improved joint function , reduced potential for injury , increased bone density , a temporary increase in metabolism , improved cardiac function ."
"Strength training is the use of resistance to muscular contraction to build the strength , anaerobic endurance , and size of skeletal muscles .",Strength training is the use of resistance to muscular contraction to build the physical strength and endurance .
"Dirt and sweat from a person 's neck and wrists would stick to the starch rather than to the fibers of the clothing , and would easily wash away along with the starch .","There are also different kinds of starch , like laundry starch , which gives clothing a smooth and crisp feel . Sweat and dirt from a personâ s wrist and neck will stick to the starch on the clothes , not to the fibers of the clothes , and will wash away along with the starch ."
"It is often a moist , sweet , cake-like quick bread ; however , there are some banana bread recipes that are traditional-style yeast breads .","It is different from most breads because it is a quick bread , using baking powder to rise . There are many different kinds of banana bread ."
"The average rainfall varies from 48 to 69 m.m per annum which is much below the required quantity but in the rainy season the water torrents flow from North to the river Jhelum with a very fast speed and cause damages to the crops , bridges , roads and are responsible for the soil erosion in the District .","The average rainfall varies from 48 to 69 m.m per annum which is much below the required quantity but in the rainy season the water torrents flow from North to the river Jhelum with a very fast speed and cause damages to the crops , bridges , roads and are responsible for the soil erosion in the District ."
"Well-known members of Sapindales include citrus ; maples , horse-chestnuts , lychees and rambutans ; mangos and cashews ; frankincense and myrrh ; mahogany and neem .","Well-known members of Sapindales include citrus ; maples , horse-chestnuts , lychees and rambutans ; mangos and cashews ; frankincense and myrrh ; and mahogany ."
"They also appear in biological settings , such as branching in trees , arrangement of leaves on a stem , the fruit spouts of a pineapple , the flowering of artichoke , an uncurling fern and the arrangement of a pine cone .","Some examples of the Fibonacci sequence being used in nature are tree branches , the pattern of leaves on a stem , the fruitlets of a pineapple , the flowering of artichoke , the uncurling of a fern and the arrangement of a pine cone ."
"Fibonacci sequences appear in biological settings , in two consecutive Fibonacci numbers , such as branching in trees , arrangement of leaves on a stem , the fruitlets of a pineapple , the flowering of artichoke , an uncurling fern and the arrangement of a pine cone .","Fibonacci sequences appear in many places in nature . Some examples of the Fibonacci sequence being used in nature are tree branches , the pattern of leaves on a stem , the fruitlets of a pineapple , the flowering of artichoke , the uncurling of a fern and the arrangement of a pine cone ."
to halt the other band members because he was holding a cigarette and had only one drum stick in his hand .,to halt the other band members because he was holding a cigarette and had only one drum stick in his hand .
"It was briefly called Bad Finger Boogie ( later the inspiration for the band name Badfinger ) , supposedly because Lennon composed the melody on a piano using his middle finger after having hurt his forefinger ; but in his 1980 Playboy interview Lennon said : `` This is Paul , with a little help from me .","It was briefly called Bad Finger Boogie ( later the inspiration for the band name Badfinger ) , because Lennon composed the melody on a piano using his middle finger after having hurt his forefinger ; but in his 1980 Playboy interview Lennon said : `` This is Paul , with a little help from me ."
"Pheasants are characterised by strong sexual dimorphism , males being highly ornate with bright colors and adornments such as wattles and long tails . Males are usually larger than females and have longer tails .","Males pheasants are usually larger than the females , and they have feathers of bright colors and long tails ."
It is the band 's first release on a major label .,It is the band 's first release on a major label .
"Also faring well were the album 's other three singles , `` Give It All '' ( # 37 ) and `` Life Less Frightening '' ( # 33 ) and `` Paper Wings '' .","Also faring well were the album 's other three singles , `` Give It All '' ( number 37 ) and `` Life Less Frightening '' ( number 33 ) and `` Paper Wings '' ."
"Siren Song of the Counter Culture is the third album by American punk rock band Rise Against , released on August 10 , 2004 .","Siren Song of the Counter Culture is the third album by American punk rock band Rise Against , released on August 10 , 2004 ."
"While the album was commercially successful , Siren Song of the Counter Culture is not Rise Against 's highest charting album on the Billboard 200 , peaking only at # 136 ; subsequent albums The Sufferer & The Witness and Appeal to Reason both charted higher , peaking at # 10 and # 3 respectively .","Despite its big commercial success , Siren Song of the Counter Culture is not Rise Against 's highest charting album on the Billboard 200 , peaking at number 136 ; subsequent albums The Sufferer & The Witness and Appeal to Reason both charted higher , peaking at number 10 and number 3 ."
"The album sold very well , mainly due to the success of its single , `` Swing Life Away '' , which reached # 12 on the Billboard Modern Rock Tracks , making it the band 's highest-charting single at the time .","The album sold very well , mainly because of the success of its single , `` Swing Life Away '' , which reached number 12 on the Billboard Modern Rock Tracks , making it the band 's highest-ranking single at the time ."
"In 2004 , he appeared in five films , including Wes Anderson 's quirky comedy The Life Aquatic with Steve Zissou ; the British gangster flick Layer Cake ; theatrical drama Being Julia ; and CGI action fantasy Sky Captain and the World of Tomorrow .","In 2004 , he appeared in five films , including Wes Anderson 's quirky comedy The Life Aquatic with Steve Zissou ; the British gangster flick Layer Cake ; theatrical drama Being Julia ; and CGI action fantasy Sky Captain and the World of Tomorrow ."
As Simon Callow once said : `` Gambon 's iron lungs and overwhelming charisma are able to command a sort of operatic full-throatedness which triumphs over hard walls and long distances '' .,As Simon Callow once said : â Gambon 's â iron lungs and overwhelming charisma are able to command a sort of operatic full-throatedness which triumphs over hard walls and long distances .
"Back at the National , now on the South Bank , his next turning point was Peter Hall 's premiere staging of Harold Pinter 's Betrayal , an unexpectedly subtle performance - a production photograph shows him embracing Penelope Wilton with sensitive hands and long slim fingers ( the touch of a master clock-maker ) .","Back at the National , now on the South Bank , his next turning point was Peter Hall 's premiere staging of Harold Pinter 's Betrayal , an unexpectedly subtle performance â '' a production photograph shows him embracing Penelope Wilton with sensitive hands and long slim fingers ( the touch of a master clock-maker ) ."
"It was created in 1934 by A.W. Leo , Tom Yates , Ralph Harrison as an ice cream topping in a converted garage in Fullerton , Calif. ; customers later discovered that it made an appealing drink when mixed with water .","It was created in 1934 by A.W. Leo , Tom Yates , and Ralph Harrison as an ice cream topping , and customers later discovered that it was an appealing drink when mixed with water ."
"Cool waters caused the hurricane to weaken to a tropical storm on September 4 , and Howard degenerated into a remnant low on September 5 .","Howard weakened further , becoming a tropical depression on September 5 and degenerated into a remnant low later that day ."
"The area today called Erholungspark Marzahn includes the GÃ rten der Welt ( Gardens of the World ) project showing a Chinese , Japanese , Balinese and Korean , labyrinths modelled on Hampton Court Palace and Chartres Cathedral as well as a garden of the Italian Renaissance .","The area today called Erholungspark Marzahn includes the GÃ rten der Welt ( Gardens of the World ) project showing a Chinese , Japanese , Balinese and Korean garden , labyrinths modelled on Hampton Court Palace and Chartres Cathedral as well as a garden of the Italian Renaissance ."
"Marzahn was the site of a labor camp ( today a water treatment plant ) , where Roma were interned from July 16 , 1936 on , two weeks prior to the 1936 Summer Olympics in Berlin , away from visitor 's eyes .","Marzahn was the site of a labor camp ( today a water treatment plant ) , where Roma were interned from July 16 , 1936 on , two weeks prior to the 1936 Summer Olympics in Berlin , away from visitor 's eyes ."
Two classes of mutations are spontaneous mutations ( molecular decay ) and induced mutations caused by mutagens .,There are four main types of mutations :
"Deflagration ( Lat : de + flagrare , `` to burn down '' ) is a technical term describing subsonic combustion that usually propagates through thermal conductivity ( hot burning material heats the next layer of cold material and ignites it ) .","Deflagration ( Lat : de + flagrare , `` to burn down '' ) is a technical term describing subsonic combustion that usually propagates through thermal conductivity ( hot burning material heats the next layer of cold material and ignites it ) ."
Addition of water to a burning hydrocarbon such as oil or wax produces a deflagration .,Addition of water to a burning hydrocarbon such as oil or wax produces a deflagration .
"It struck Galveston and Houston , Texas directly , causing $ 2.6 billion USD ( $ 5.27 billion 2006 USD ) in damage and killing 21 people ; this made it the worst Texas hurricane since Hurricane Carla ( 1961 season ) , and Texas ' first billion-dollar storm .","In the end , Hurricane Alicia killed 21 people and caused $ 2 billion in damage ( $ 5.27 billion in 2006 dollars ) ."
"The complex flavor of hoja santa is not so easily described ; it has been compared to eucalyptus , licorice , sassafras , anise , nutmeg , mint , tarragon , and black pepper .","The difficult taste of Hoja santa is not easy to describe . It has been compared to eucalyptus , licorice , sassafras , anise , nutmeg , mint , tarragon , and black pepper ."
Between half and three-quarters of all women who have a chlamydia infection of the neck of the womb ( cervicitis ) have no symptoms and do not know that they are infected .,Between half and three-quarters of all women who have chlamydia have no symptoms and do not know that they are infected .
"Chlamydia can be transmitted during vaginal , anal , or oral sex , and can be passed from an infected mother to her baby during vaginal childbirth .","Chlamydia can be transmitted during vaginal , anal , or oral sex . It can also be passed from an infected mother to her baby during vaginal childbirth ."
Chlamydia is a major infectious cause of human genital and eye disease .,Chlamydia is a major infectious cause of human genital and eye disease .
Chlamydia conjunctivitis or trachoma is a common cause of blindness worldwide .,Chlamydia conjunctivitis or trachoma is a common cause of blindness worldwide .
Chlamydia infection is one of the most common sexually transmitted infections worldwide ; it is estimated that about 1 million individuals in the United States are infected with chlamydia .,The infection is one of the most common sexually transmitted infections in people worldwide -- about 2.8 million cases of chlamydia infection occur in the United States each year .
"Chlamydia infection ( from the Greek , Ï Î '' Î Î 1/4 Ï Î Î meaning `` cloak '' ) is a common sexually transmitted infection ( STI ) in humans caused by the bacterium Chlamydia trachomatis .","Chlamydia infection ( from the Greek , Ï Î '' Î Î 1/4 Ï Î Î Ï meaning `` cloak '' ) is a common sexually transmitted infection ( STI ) in humans . It is caused by the bacterium Chlamydia trachomatis ."
"Chlamydia conjunctivitis or trachoma was once the most important cause of blindness worldwide , but its role diminished from 15 % of blindness cases by trachoma in 1995 to 3.6 % in 2002 .","Chlamydia conjunctivitis or trachoma is a common cause of blindness worldwide . The World Health Organization estimates that it accounted for 15 % of blindness cases in 1995 , but only 3.6 % in 2002 ."
"In 2005 , CNN founder and media mogul , Ted Turner , on a visit to North Korea , said that he would financially support any plans to turn the DMZ into a peace park and a UN-protected World Heritage Site .","In 2005 , CNN founder and media mogul , Ted Turner , on a visit to North Korea , said that he would financially support any plans to turn the DMZ into a peace park and a UN-protected World Heritage Site ."
Halls is the brand name of a popular mentholated cough drop .,Halls is a brand of cough drops that are popular in Canada and the United States .
"It is attached to the frenulum clitoridis , which is also attached to the labia minora .",The whole structure is attached to the frenulum clitoridis and clitoral body ( which is internal ) .
"Some species are eaten whole , including the shell , such as soft-shell crab ; with other species just the claws and/or legs are eaten .","Some species are eaten whole , including the shell , such as soft-shell crab ; with other species just the claws and/or legs are eaten ."
"Supporters of the use of animals in experiments , such as the British Royal Society , argue that virtually every medical achievement in the 20th century relied on the use of animals in some way , with the Institute for Laboratory Animal Research of the U.S. National Academy of Sciences arguing that even sophisticated computers are unable to model interactions between molecules , cells , tissues , organs , organisms , and the environment , making animal research necessary in many areas .","People who support animal testing argue that almost every medical discovery in the 20th century used animals in some way . They say that even complex computers can not model connections between molecules , cells , tissues , organs , organisms , and the environment ."
"However , in response to the Elixir Sulfanilamide disaster of 1937 in which the eponymous drug killed more than 100 users , the U.S. congress passed laws that required safety testing of drugs on animals before they could be marketed .","Drugs did not have to be checked for safety . But in 1937 , a drug called Elixir Sulfanilamide killed more than 100 people ."
"Some other Internet security systems in widespread use , such as Secure Sockets Layer ( SSL ) , Transport Layer Security ( TLS ) and Secure Shell ( SSH ) , operate in the upper layers of the TCP/IP model .","Other Internet security protocols in widespread use , such as SSL , TLS and SSH , operate in the upper layers of these models ."
"Normal functioning of the kidney , brain , liver , heart , and other systems can be affected by uranium exposure , because , besides being weakly radioactive , uranium is a toxic metal .",Uranium is weakly radioactive .
It contains several cell types and several different peptides ( including vasopressin and vasoactive intestinal peptide ) and neurotransmitters .,"It has different cell types , many peptides ( including vasopressin and vasoactive intestinal peptide ) and neurotransmitters ."
"He was primarily active in Northern Europe , especially the Netherlands and Germany , where a number of his instruments survive to the present day ; his organs can also be found as far away as Portugal and Brazil .","He mostly worked in Northern Europe , especially the Netherlands and Germany , where a number of his instruments survive to the present day ."
Using calcium chloride and potassium chloride the products contain calcium or potassium instead of sodium .,"If potassium chloride or calcium chloride is used instead , potassium hydroxide and calcium hydroxide are produced ."
"Its clear aqueous solution is guaranteed to be free of carbonate , unlike those of sodium hydroxide and potassium hydroxide , as barium carbonate is insoluble in water .","Barium hydroxide is used in titrations . If sodium hydroxide solution is used , some sodium carbonate may be in there ."
Other birds such as orioles and jays have learned to eat only the thoracic muscles and abdominal contents because these contain less poison than the rest of the body .,"Other birds , such as orioles and jays , have learned to eat only the thoracic muscles and the body parts inside the abdomen . These parts have less poison than the rest of the body ."
"The bacteria Pseudomonas aeruginosa has no invasive powers , but causes secondary infections in weakened insects .",The bacteria Pseudomonas aeruginosa causes infections in weakened insects .
"`` Cluster '' refers to the tendency of these headaches to occur periodically , with active periods interrupted by spontaneous remissions .","`` Cluster '' refers to the tendency of these headaches to occur periodically , with active periods interrupted by spontaneous remissions ."
"Her second marriage , in December 1947 , was to the famous bass player Ray Brown , whom she had met while on tour with Dizzy Gillespie 's band a year earlier .","In December 1947 , she married the famous bass player Ray Brown . She had met him while on tour with Dizzy Gillespie 's band a year before ."
"Ella Fitzgerald also recorded albums exclusively devoted to the songs of Porter and Gershwin in 1972 and 1983 ; the albums being , respectively , Ella Loves Cole and Nice Work If You Can Get It .",Ella Fitzgerald also recorded albums of the songs of Cole Porter and George Gershwin in 1972 and 1983 . The albums were called Ella Loves Cole and Nice Work If You Can Get It .
"After infection with the disease , the body ( usually ) gains the ability of recognizing the similar smallpox virus from its antigens and so is able to fight the smallpox disease much more efficiently .","After infection with the disease , the body ( usually ) gains the ability recognize the similar smallpox virus from its antigens and so is able to fight the smallpox disease much more efficiently ."
Cowpox was the original vaccine of sorts for smallpox .,Cowpox was the original vaccine of sorts for smallpox .
"Symptoms of infection with cowpox virus in humans are localized , pustular lesions generally found on the hands and limited to the site of introduction .","Symptoms of infection with cowpox virus in humans are localized , pustular lesions generally found on the hands and limited to the site of introduction ."
"Cowpox is similar to but much milder than the highly contagious and sometimes deadly smallpox disease . It resembles mild smallpox , and was the basis of the first smallpox vaccines .",The disease vaccinated against was the deadly smallpox .
"Symptoms in cats include lesions on the face , neck , forelimbs , and paws , and less commonly upper respiratory tract infection .","Symptoms in cats include lesions on the face , neck , forelimbs , and paws , and less commonly upper respiratory tract infection ."
The vaccinia virus now used for smallpox vaccination is sufficiently different from the cowpox virus found in the wild as to be considered a separate virus .,It is caused by a virus ( Cowpox virus ) that is related to the Vaccinia virus .
"The cowpox virus was used to perform the first successful vaccination against a disease , smallpox , which is caused by the related Variola virus .",The virus that causes cowpox was used to perform the first successful vaccination against another disease .
This is believed to be due to its proximity to land and colds waters being brought up due to Henriette 's slow movement .,This is believed to be due to its close proximity to land and colds waters being brought up due to Henriette 's slow movement .
The remnants of Henriette caused flash floods and surface water 8 -- 12 inches ( 20 -- 30 cm ) deep which covered roads with depths up to 1.5 inches ( 4 cm ) in the U.S. States of New Mexico and Texas .,The remnants of Henriette caused flash floods and surface water 8 -- 12 inches ( 20 -- 30 cm ) deep which covered roads with depths up to 1.5 inches ( 4 cm ) in the U.S. States of New Mexico and Texas .
"The storm 's precipitation flooded nearby agricultural fields , stopping wheat production , forcing local government to fumigate the region to try to prevent a dengue fever outbreak .","The storm 's precipitation flooded nearby agricultural fields , stopping wheat production , forcing local government to fumigate the region to try to prevent a dengue fever outbreak ."
"Angel food cake , or Angel cake , is a type of sponge cake originally from North America that first became popular in the U.S. in the late 19th century .",Angel food cake is an example of cake that became popular in the United States in the 19th century . It is also called angel cake .
The softer wheat and the lack of fat causes angel food cake to have a very light texture and taste .,This â '' and not having fat â '' causes angel food cake to have a very light texture and taste .
"Bodybuilders use weight training to develop their muscles for size , shape , and symmetry regardless of any increase in strength for competition in bodybuilding contests ; they train to maximize their muscular size and develop extremely low levels of body fat .","Bodybuilders use weight training to improve their body image by developing their muscles for size , shape , and symmetry regardless of any increase in strength for competition in bodybuilding contests ; they train to maximize their muscular size and develop extremely low levels of body fat ."
The animals have weak musculature but maintain agility and buoyancy with little effort thanks to sophisticated statocysts ( balancing organs akin to a human 's inner ear ) and ammonium-rich gelatinous tissues closely matching the density of the surrounding seawater .,The animals have weak musculature but maintain agility and buoyancy with little effort thanks to sophisticated statocysts ( balancing organs akin to a human 's inner ear ) and ammonium-rich gelatinous tissues closely matching the density of the surrounding seawater .
"Their blue blood 's hemocyanin binds and transports oxygen more efficiently than in other cephalopods ( Seibel et al . 1999 ) , aided by gills with especially large surface area .","Their blue blood 's hemocyanin binds and transports oxygen most efficiently , aided by gills with especially large surface area ."
"At the shallower end of the Vampire Squid 's vertical range , the view from below is like the sky at twilight : The highly sensitive eyes of deepwater denizens are able to distinguish the silhouettes of other animals moving overhead .","At the shallower end of the Vampire Squid 's vertical range , the view from below is like the sky at twilight : The highly sensitive eyes of deepwater dwellers are able to distinguish the silhouettes of other animals moving overhead ."
"The smaller animals frequent much deeper waters , perhaps feeding on marine snow ( falling organic detritus ) .","The smaller animals frequent much deeper waters , perhaps feeding on marine snow ( falling organic detritus ) ."
"In a threat response called `` pumpkin '' or `` pineapple posture '' , the Vampire Squid inverts its caped arms back over the body , presenting an ostensibly larger form covered in fearsome-looking though harmless spines ( called cirri ) The underside of the cape is heavily pigmented , masking most of the body 's photophores .","In a threat response called `` pumpkin '' or `` pineapple posture '' , the Vampire Squid inverts its caped arms back over the body , presenting an ostensibly larger form covered in fearsome-looking though harmless spines ( called cirri ) . The underside of the cape is heavily pigmented , masking most of the body 's photophores ."
"A. lumbricoides is the largest intestinal roundworm and is the most common helminth infection of humans worldwide , an infection known as ascariasis .","A. lumbricoides is the largest intestinal roundworm and is the most common worm infection of humans , an infection known as ascariasis ."
"Infestation can cause morbidity , and sometimes death , by compromising nutritional status , affecting cognitive processes , inducing tissue reactions , such as granuloma , and provoking intestinal obstruction or rectal prolapse .","Infestation can cause morbidity , and sometimes death , by compromising nutritional status , affecting cognitive processes , inducing tissue reactions , such as granuloma , and provoking intestinal obstruction or rectal prolapse ."
"On metal , patina is a coating of various chemical compounds such as oxides or carbonates formed on the surface during exposure to the elements ( weathering ) .",Patina is a coating of various chemical compounds such as oxides or carbonates formed on the surface of metal during exposure to weathering .
"Possibly due to less friction of the eyewall or moving over warm waters of the Gulf Stream , Wilma again re-intensified to reach winds of 125 mph ( 200 km/h ) before cold air and wind shear penetrated the inner core of convection .",The hurricane again re-intensified before cold air and wind shear penetrated the inner core of convection .
"A recent study showed that in one case a needle biopsy of a liver tumor resulted in spread of the cancer along the path of the needle , and concluded that needle aspiration was dangerous and unnecessary .","Needle aspiration biopsy ( NAB ) , also known as fine needle aspiration cytology ( FNAC ) , fine needle aspiration biopsy ( FNAB ) and fine needle aspiration ( FNA ) , is a medical procedure performed to diagnose certain kinds of medical conditions , such as lumps in the neck . A thin needle is inserted into a mass or lump to extract cells that will be examined under a microscope ."
"Eukaryotic cells contain three main kinds of cytoskeletal filaments , which are microfilaments , intermediate filaments , and microtubules .","Eukaryote cells contain three main kinds of cytoskeletal filaments , which are microfilaments ( Actin filaments ) , intermediate filaments , and microtubules ."
"The concept of a protein mosaic that dynamically coordinated cytoplasmic biochemistry was proposed by Rudolph Peters in 1929 while the term ( cytosquelette , in French ) was first introduced by French embryologist Paul Wintrebert in 1931 .","The concept and the term ( cytosquelette , in French ) was introduced by French embryologist Paul Wintrebert in 1931 ."
"Marshall is well-known for proving that the bacterium Helicobacter pylori ( H. pylori ) is the cause of most peptic ulcers , reversing decades of medical doctrine holding that ulcers were caused by stress , spicy foods , and too much acid .","Marshall is well-known for proving that bacteria Helicobacter pylori are the cause of most stomach ulcers . This changed years of medical belief which said that ulcers were caused by stress , spicy foods , and too much acid ."
"Symptoms included vague stomach discomfort , nausea , vomiting and halitosis ( due to the achlorhydia , there was no acid to kill bacteria in the stomach , and their waste products manifested as bad breath ) .","He had stomach discomfort , nausea , vomiting and bad smelling breath ."
"In 2005 , the Karolinska Institute in Stockholm awarded the Nobel Prize in Physiology or Medicine to Marshall and Robin Warren , his long-time collaborator , `` for their discovery of the bacterium Helicobacter pylori and its role in gastritis and peptic ulcer disease '' .","In 2005 , the Karolinska Institute in Stockholm gave the Nobel Prize in Physiology or Medicine to Dr. Marshall and Dr. Warren for finding the bacterium Helicobacter pylori and its part in gastritis and peptic ulcer disease ."
"On the fourteenth day of the infection , biopsies of Marshall 's stomach did not reveal any bacteria , so spontaneous eradication may have occurred .","On the 14th day of the infection , biopsies of Marshall 's stomach did not show any bacteria ."
"In 1982 , they performed the initial culture of H. pylori and developed their hypothesis related to the bacterial cause of peptic ulcer and gastric cancer .",In 1982 they grew a culture of H. pylori . They worked on their idea that there was a bacterial cause of peptic ulcer and stomach cancer .
"Marshall 's illness and recovery , based on a culture of organisms extracted from a patient , fulfilled Koch 's postulates for H. pylori and gastritis , but not for peptic ulcer .","His illness and recovery , showed the link between H. pylori and gastritis , but not for peptic ulcer ."
